,선수,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+,WPA,생일
0,이정후22키CF,142,627,553,85,193,36,10,23,318,113,5,0,66,5,12,32,10,0,3,.349,.421,.575,.996,.441,182.5,9.23,6.72,1998-08-20
1,피렐라22삼LF,141,630,561,102,192,33,4,28,317,109,15,5,55,12,12,81,19,0,2,.342,.411,.565,.976,.434,169.3,7.40,4.20,1989-11-21
2,나성범22KRF,144,649,563,92,180,39,2,21,286,97,6,1,64,17,6,137,7,0,5,.320,.402,.508,.910,.411,157.4,6.50,3.74,1989-10-03
3,오지환22LSS,142,569,494,75,133,16,4,25,232,87,20,7,62,7,2,107,11,3,3,.269,.357,.470,.827,.372,138.6,5.77,2.56,1990-03-12
4,최정22S3B,121,505,414,80,110,21,0,26,209,87,12,5,66,19,3,96,6,0,6,.266,.386,.505,.891,.400,145.4,5.15,3.72,1987-02-28
5,터크먼22한CF,144,648,575,88,166,37,4,12,247,43,19,11,64,7,5,104,12,0,2,.289,.366,.430,.795,.365,126.8,4.98,0.80,1990-12-03
6,소크라테스22KCF,127,554,514,83,160,29,7,17,254,77,13,6,34,2,4,81,11,0,4,.311,.354,.494,.848,.380,137.0,4.97,0.61,1992-09-06
7,김현수22LLF,141,604,524,78,150,25,2,23,248,106,2,1,71,5,7,62,5,0,3,.286,.375,.473,.848,.382,145.1,4.88,2.70,1988-01-12
8,김혜성22키2B,129,566,516,81,164,18,7,4,208,48,34,7,47,0,3,83,9,0,3,.318,.373,.403,.776,.360,123.9,4.80,1.26,1999-01-27
9,최지훈22SCF,144,640,570,93,173,32,4,10,243,61,31,7,47,7,0,77,7,12,4,.304,.362,.426,.788,.357,120.8,4.78,1.77,1997-07-23
10,양의지22NC,130,510,427,61,121,24,0,20,205,94,3,1,60,13,6,48,16,0,10,.283,.380,.480,.861,.386,140.3,4.61,0.76,1987-06-05
11,박건우22NCF,111,463,408,52,137,18,1,10,187,61,3,3,44,8,1,62,10,0,3,.336,.408,.458,.867,.400,151.9,4.47,1.02,1990-09-08
12,박성한22SSS,140,564,494,68,147,24,4,2,185,56,12,8,60,2,1,81,5,6,2,.298,.375,.374,.749,.349,116.6,4.23,1.49,1998-03-30
13,문보경22L3B,126,466,406,52,128,22,3,9,183,56,7,0,47,1,1,56,11,5,7,.315,.382,.451,.833,.377,138.3,4.02,1.10,2000-07-19
14,마티니22NLF,139,576,510,67,153,34,1,16,237,85,13,4,51,8,5,86,8,0,7,.300,.368,.465,.833,.376,134.9,3.96,0.53,1990-06-27
15,한유섬22SRF,135,545,458,62,121,33,1,21,219,100,1,1,66,16,6,137,8,0,5,.264,.373,.478,.851,.382,134.9,3.90,3.45,1989-08-09
16,박병호22K1B,124,487,429,72,118,17,0,35,240,98,5,3,40,12,3,131,7,0,6,.275,.349,.559,.909,.399,147.8,3.85,3.71,1986-07-10
17,푸이그22키RF,126,547,473,65,131,30,0,21,224,73,6,3,58,12,1,100,6,0,4,.277,.368,.474,.841,.382,143.4,3.78,1.35,1990-12-07
18,한동희22롯3B,129,499,456,43,140,27,0,14,209,65,0,0,33,6,2,64,15,0,4,.307,.359,.458,.817,.372,129.2,3.77,0.32,1999-06-01
19,정은원22한2B,140,601,508,67,140,20,2,8,188,49,10,6,85,1,0,109,10,4,3,.276,.379,.370,.749,.352,118.2,3.70,-0.81,2000-01-17
20,이대호22롯DH,143,591,540,53,179,23,0,23,271,101,0,0,43,2,7,56,26,0,6,.331,.379,.502,.881,.395,146.2,3.58,0.96,1982-06-21
21,박해민22LCF,144,636,570,97,165,20,8,3,210,49,24,6,44,9,0,85,4,7,6,.289,.347,.368,.715,.331,103.9,3.45,0.60,1990-02-24
22,장성우22KC,117,420,362,48,94,11,0,18,159,55,1,0,52,2,2,79,12,1,3,.260,.353,.439,.792,.360,121.8,3.39,0.50,1990-01-17
23,노진혁22N3B,115,451,396,50,111,24,0,15,180,75,2,0,45,2,3,105,11,3,5,.280,.353,.455,.807,.362,125.1,3.31,1.13,1989-07-15
24,허경민22두3B,121,493,432,59,125,23,0,8,172,60,10,3,36,16,3,40,12,2,7,.289,.361,.398,.759,.350,119.6,3.29,1.82,1990-08-26
25,안치홍22롯2B,132,562,493,71,140,27,3,14,215,58,7,2,51,5,4,52,13,8,5,.284,.354,.436,.790,.354,117.2,3.24,0.87,1990-07-02
26,김재환22두LF,128,517,448,64,111,24,1,23,206,72,2,1,61,4,4,133,5,0,4,.248,.340,.460,.800,.360,130.7,3.24,0.33,1988-09-22
27,홍창기22LRF,118,525,437,76,125,19,4,1,155,51,13,4,59,19,0,75,11,5,5,.286,.390,.355,.745,.353,119.2,3.17,1.27,1993-11-21
28,전준우22롯LF,120,517,470,73,143,31,1,11,209,68,6,3,35,3,1,73,14,0,9,.304,.350,.445,.795,.361,121.3,3.10,1.19,1986-02-25
29,박찬호22KSS,130,566,494,81,134,22,0,4,168,45,41,8,57,1,0,67,9,7,7,.271,.344,.340,.684,.319,95.0,3.02,0.62,1995-06-05
30,박동원22키KC,123,447,385,52,93,21,0,18,168,57,1,0,45,9,4,95,9,7,1,.242,.334,.436,.771,.344,111.5,2.94,-0.80,1990-04-07
31,채은성22L1B,126,526,467,48,138,26,2,12,204,83,6,7,27,21,3,88,16,0,11,.296,.354,.437,.790,.359,127.3,2.89,-0.22,1990-02-06
32,김선빈22K2B,140,587,505,51,145,23,0,3,177,61,13,2,65,6,0,47,14,7,3,.287,.373,.351,.724,.341,109.6,2.88,1.39,1989-12-18
33,오재일22삼1B,135,536,470,57,126,42,0,21,231,94,2,1,58,1,8,133,7,0,7,.268,.345,.491,.837,.370,126.5,2.83,0.86,1986-10-29
34,조용호22KRF,131,531,474,52,146,18,4,3,181,44,5,4,49,3,3,74,3,2,3,.308,.374,.382,.756,.352,115.8,2.66,1.99,1989-09-09
35,노시환22한3B,115,490,434,55,122,24,1,6,166,59,6,2,48,4,1,95,13,0,4,.281,.355,.382,.738,.344,112.5,2.65,1.99,2000-12-03
36,황재균22K3B,141,581,519,59,136,24,3,10,196,64,6,3,53,5,5,99,17,2,2,.262,.335,.378,.713,.328,99.6,2.65,-0.18,1987-07-28
37,배정대22KCF,144,575,508,64,135,24,2,6,181,56,19,4,54,4,0,126,2,5,4,.266,.339,.356,.695,.324,96.7,2.58,-0.18,1995-06-12
38,문성주22LDH,106,390,327,55,99,15,3,6,138,41,9,6,51,3,2,36,13,8,1,.303,.401,.422,.823,.375,136.0,2.48,0.48,1997-02-20
39,알포드22KLF,80,323,283,48,81,19,1,14,144,50,5,1,33,3,3,90,3,0,4,.286,.362,.509,.871,.387,139.7,2.47,2.04,1994-07-20
40,추신수22SDH,112,499,409,77,106,20,1,16,176,58,15,5,71,13,1,100,6,2,4,.259,.382,.430,.813,.374,129.8,2.38,2.01,1982-07-13
41,강승호22두2B,134,487,444,54,117,28,1,10,177,62,13,5,29,3,0,100,8,6,5,.264,.310,.399,.708,.320,100.5,2.34,0.53,1994-02-09
42,유강남22LC,139,469,416,54,106,16,0,8,146,47,0,0,34,11,1,98,9,6,2,.255,.326,.351,.677,.314,94.9,2.30,0.41,1992-07-15
43,렉스22롯CF,56,251,218,32,72,10,1,8,108,34,3,0,26,5,2,44,4,0,2,.330,.410,.495,.906,.411,156.3,2.30,1.32,1993-11-12
44,최형우22KDH,132,530,454,55,120,27,1,14,191,71,1,0,73,1,5,92,9,0,2,.264,.366,.421,.787,.361,123.3,2.29,1.16,1983-12-16
45,류지혁22K3B,127,477,405,55,112,19,2,2,141,48,8,4,56,6,0,83,6,8,2,.277,.371,.348,.719,.338,107.8,2.26,1.01,1994-01-13
46,박민우22N2B,104,451,390,61,104,22,1,4,140,38,21,4,42,10,5,55,7,6,3,.267,.351,.359,.710,.326,101.0,2.13,0.62,1993-02-06
47,강민호22삼C,130,444,396,38,102,19,1,13,162,66,0,0,41,3,4,58,21,1,3,.258,.330,.409,.739,.335,103.6,2.11,0.55,1985-08-18
48,김지찬22삼2B,113,429,361,62,101,7,6,0,120,25,25,4,45,2,0,64,2,19,2,.280,.361,.332,.693,.317,93.2,2.08,0.63,2001-03-08
49,손아섭22NRF,138,617,548,72,152,29,4,4,201,48,6,3,59,3,2,76,9,1,6,.277,.347,.367,.714,.333,105.7,2.07,1.43,1988-03-18
50,송성문22키3B,142,601,547,67,135,21,4,13,203,79,0,1,45,1,6,65,8,1,7,.247,.302,.371,.673,.305,88.1,2.01,-1.23,1996-08-29
51,김현준22삼CF,118,422,363,57,100,19,4,0,127,22,5,3,45,6,0,80,1,8,0,.275,.365,.350,.715,.334,105.5,1.96,0.64,2002-10-11
52,고승민22롯RF,92,262,234,31,74,15,1,5,106,30,1,4,25,0,0,47,6,2,1,.316,.381,.453,.834,.381,134.4,1.95,1.34,2000-08-11
53,구자욱22삼RF,99,442,409,69,119,23,3,5,163,37,11,1,27,3,2,84,7,1,2,.291,.338,.399,.736,.338,107.1,1.91,-0.31,1993-02-12
54,이창진22KLF,111,404,346,56,104,14,0,7,139,48,3,5,41,2,0,63,7,11,4,.301,.374,.402,.776,.352,117.2,1.84,-0.65,1991-03-04
55,강한울22삼3B,93,252,226,31,73,12,1,1,90,26,4,2,20,0,0,48,2,4,2,.323,.375,.398,.773,.355,119.4,1.83,-0.53,1991-09-12
56,페르난데스22두DH,139,550,508,52,157,28,0,6,203,77,0,0,35,2,0,45,34,0,5,.309,.353,.400,.752,.349,118.6,1.83,-0.21,1988-04-27
57,김준태22KC,98,270,231,28,63,16,1,4,93,27,2,0,33,0,1,77,4,3,3,.273,.360,.403,.762,.348,113.0,1.82,0.54,1994-07-31
58,김주원22NSS,96,326,273,35,62,10,2,10,106,47,10,3,30,14,1,89,4,9,0,.227,.334,.388,.723,.327,100.7,1.81,-0.41,2002-07-30
59,최재훈22한C,114,437,364,38,81,14,0,5,110,30,1,1,44,21,0,65,17,5,2,.223,.339,.302,.641,.308,87.4,1.78,-1.31,1989-08-27
60,김휘집22키SS,112,393,333,40,74,12,1,8,112,36,0,0,39,14,0,115,6,3,4,.222,.326,.336,.662,.312,93.6,1.58,-1.22,2002-01-01
61,양석환22두1B,107,446,406,58,99,14,1,20,175,51,1,0,32,7,3,101,3,0,1,.244,.309,.431,.741,.334,113.0,1.57,0.05,1991-07-15
62,심우준22KSS,132,449,388,69,93,8,2,4,117,34,23,2,43,2,0,75,11,11,4,.240,.316,.302,.617,.287,72.0,1.55,-1.06,1995-04-28
63,하주석22한SS,125,483,444,50,115,18,2,5,152,58,20,6,31,3,1,126,4,2,3,.259,.310,.342,.652,.303,84.5,1.38,-0.21,1994-02-25
64,김재성22삼DH,63,185,161,16,54,10,0,3,73,26,0,0,18,2,0,40,4,1,3,.335,.402,.453,.856,.392,143.6,1.37,0.44,1996-10-30
65,김강민22SCF,84,202,178,24,54,11,0,5,80,18,1,3,18,3,2,39,1,2,1,.303,.375,.449,.824,.372,129.5,1.33,1.07,1982-09-13
