,선수,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+,WPA,생일
0,이정후22키CF,142,627,553,85,193,36,10,23,318,113,5,0,66,5,12,32,10,0,3,.349,.421,.575,.996,.441,182.5,9.23,6.72,1998-08-20
1,로하스20KRF,142,628,550,116,192,39,1,47,374,135,0,1,65,5,5,132,11,0,8,.349,.417,.680,1.097,.467,180.5,7.76,7.29,1990-05-24
2,피렐라22삼LF,141,630,561,102,192,33,4,28,317,109,15,5,55,12,12,81,19,0,2,.342,.411,.565,.976,.434,169.3,7.40,4.20,1989-11-21
3,김하성19키SS,139,625,540,112,166,38,2,19,265,104,33,4,70,7,4,80,12,1,7,.307,.389,.491,.880,.397,145.7,7.17,4.52,1995-10-17
4,홍창기21LCF,144,651,524,103,172,26,2,4,214,52,23,8,110,15,4,95,6,0,2,.328,.456,.408,.865,.417,152.6,6.98,4.47,1993-11-21
5,김하성20키SS,138,622,533,111,163,24,1,30,279,109,23,2,75,8,3,68,12,3,3,.306,.397,.523,.921,.407,147.0,6.83,4.22,1995-10-17
6,이정후21키CF,123,544,464,78,167,42,6,7,242,84,10,3,62,9,1,37,8,0,9,.360,.438,.522,.959,.441,165.2,6.73,3.17,1998-08-20
7,양의지19NC,118,459,390,61,138,26,0,20,224,68,4,3,48,15,4,43,13,0,6,.354,.438,.574,1.012,.452,179.8,6.69,1.88,1987-06-05
8,나성범22KRF,144,649,563,92,180,39,2,21,286,97,6,1,64,17,6,137,7,0,5,.320,.402,.508,.910,.411,157.4,6.50,3.74,1989-10-03
9,강백호21K1B,142,627,516,76,179,40,1,16,269,102,10,5,103,0,10,85,7,0,8,.347,.450,.521,.971,.443,165.5,6.35,5.78,1999-07-29
10,최정19S3B,141,606,503,86,147,27,0,29,261,99,3,2,69,26,6,92,4,0,8,.292,.399,.519,.918,.411,148.9,6.32,3.85,1987-02-28
11,샌즈19키RF,139,613,525,100,160,39,1,28,285,113,1,2,77,6,1,101,17,0,5,.305,.396,.543,.939,.421,163.0,6.16,3.45,1987-09-28
12,최정21S3B,134,555,436,92,121,17,1,35,245,100,8,6,84,22,3,102,9,1,12,.278,.410,.562,.972,.431,155.9,6.14,5.40,1987-02-28
13,양의지20NC,130,528,461,86,151,26,1,33,278,124,5,2,46,14,7,47,11,1,6,.328,.400,.603,1.003,.432,154.3,6.00,3.68,1987-06-05
